config,p,threshold,seed,tx_entries,tx_busts,mk_eq_busts,mk_eq_rate,advantage,z_score
C1,1.00,3,123,400825,740,930.0,0.2320,-20.43,-4.6542
C1,1.00,4,123,197321,380,560.2,0.2839,-32.17,-5.8842
C1,1.00,5,123,97147,185,377.4,0.3885,-50.98,-8.1241
C1,1.00,6,123,47863,91,285.5,0.5965,-68.13,-10.0437
C1,1.00,7,123,23423,39,237.1,1.0123,-83.55,-11.9573
C2,0.90,3,123,400825,740,915.9,0.2285,-19.21,-4.3285
C2,0.90,4,123,197321,380,545.2,0.2763,-30.30,-5.4381
C2,0.90,5,123,97147,185,358.8,0.3693,-48.44,-7.4638
C2,0.90,6,123,47863,91,270.7,0.5656,-66.38,-9.4666
C2,0.90,7,123,23423,39,223.8,0.9554,-82.57,-11.4309
C3,0.75,3,123,400825,740,897.6,0.2240,-17.59,-3.9069
C3,0.75,4,123,197321,380,520.6,0.2638,-27.01,-4.6908
C3,0.75,5,123,97147,185,331.9,0.3417,-44.27,-6.4710
C3,0.75,6,123,47863,91,240.1,0.5017,-62.11,-8.2100
C3,0.75,7,123,23423,39,193.4,0.8256,-79.83,-10.1525
C4,0.50,3,123,400825,740,855.8,0.2136,-13.58,-2.9129
C4,0.50,4,123,197321,380,478.6,0.2426,-20.61,-3.3697
C4,0.50,5,123,97147,185,284.0,0.2923,-34.86,-4.5769
C4,0.50,6,123,47863,91,190.8,0.3986,-52.31,-5.9539
C4,0.50,7,123,23423,39,140.4,0.5996,-72.23,-7.5878
C5,0.25,3,123,400825,740,815.4,0.2035,-9.27,-1.9196
C5,0.25,4,123,197321,380,435.9,0.2209,-12.82,-1.9587
C5,0.25,5,123,97147,185,241.4,0.2485,-23.36,-2.7339
C5,0.25,6,123,47863,91,143.8,0.3005,-36.74,-3.4523
C5,0.25,7,123,23423,39,93.2,0.3981,-58.18,-4.7241
C6,0.10,3,123,400825,740,794.6,0.1982,-6.87,-1.3955
C6,0.10,4,123,197321,380,401.7,0.2036,-5.41,-0.7776
C6,0.10,5,123,97147,185,206.6,0.2127,-10.47,-1.0946
C6,0.10,6,123,47863,91,113.4,0.2368,-19.72,-1.5658
C6,0.10,7,123,23423,39,63.5,0.2709,-38.54,-2.4191
C7,0.00,3,123,400825,740,777.1,0.1939,-4.78,-0.9539
C7,0.00,4,123,197321,380,388.5,0.1969,-2.18,-0.3062
C7,0.00,5,123,97147,185,190.3,0.1959,-2.79,-0.2744
C7,0.00,6,123,47863,91,93.5,0.1954,-2.68,-0.1850
C7,0.00,7,123,23423,39,44.2,0.1888,-11.82,-0.5738
C_BI,bidir,3,123,800875,1501,1715.4,0.2142,-12.50,-3.7844
C_BI,bidir,4,123,394450,757,955.7,0.2423,-20.79,-4.8070
C_BI,bidir,5,123,194419,361,571.3,0.2938,-36.81,-6.8949
C_BI,bidir,6,123,95689,185,381.4,0.3986,-51.50,-8.2653
C_BI,bidir,7,123,46909,90,288.2,0.6144,-68.77,-10.2126
