config,p,threshold,seed,tx_entries,tx_busts,mk_eq_busts,mk_eq_rate,advantage,z_score
C1,1.00,3,456,400724,763,909.3,0.2269,-16.09,-3.5813
C1,1.00,4,456,197319,371,556.6,0.2821,-33.35,-6.1020
C1,1.00,5,456,97216,193,381.1,0.3921,-49.36,-7.8638
C1,1.00,6,456,47787,110,287.7,0.6020,-61.76,-8.9289
C1,1.00,7,456,23645,58,242.2,1.0243,-76.05,-10.6652
C2,0.90,3,456,400724,763,905.2,0.2259,-15.71,-3.4863
C2,0.90,4,456,197319,371,542.0,0.2747,-31.55,-5.6649
C2,0.90,5,456,97216,193,364.9,0.3753,-47.10,-7.2868
C2,0.90,6,456,47787,110,275.4,0.5763,-60.06,-8.4422
C2,0.90,7,456,23645,58,228.7,0.9673,-74.64,-10.1125
C3,0.75,3,456,400724,763,874.0,0.2182,-12.72,-2.7517
C3,0.75,4,456,197319,371,515.0,0.2610,-27.96,-4.8433
C3,0.75,5,456,97216,193,336.2,0.3459,-42.60,-6.2345
C3,0.75,6,456,47787,110,243.7,0.5099,-54.86,-7.1214
C3,0.75,7,456,23645,58,194.7,0.8235,-70.21,-8.6233
C4,0.50,3,456,400724,763,842.3,0.2103,-9.47,-1.9933
C4,0.50,4,456,197319,371,469.1,0.2377,-20.91,-3.3883
C4,0.50,5,456,97216,193,288.4,0.2967,-33.08,-4.3535
C4,0.50,6,456,47787,110,189.4,0.3963,-41.91,-4.5939
C4,0.50,7,456,23645,58,147.4,0.6234,-60.65,-6.2515
C5,0.25,3,456,400724,763,816.3,0.2038,-6.56,-1.3500
C5,0.25,4,456,197319,371,428.9,0.2174,-13.51,-2.0511
C5,0.25,5,456,97216,193,236.5,0.2433,-18.39,-2.1013
C5,0.25,6,456,47787,110,142.1,0.2974,-22.61,-2.0267
C5,0.25,7,456,23645,58,95.6,0.4044,-39.35,-3.0409
C6,0.10,3,456,400724,763,791.7,0.1976,-3.63,-0.7289
C6,0.10,4,456,197319,371,402.1,0.2038,-7.74,-1.1207
C6,0.10,5,456,97216,193,208.8,0.2148,-7.58,-0.7905
C6,0.10,6,456,47787,110,111.7,0.2338,-1.55,-0.1163
C6,0.10,7,456,23645,58,65.7,0.2780,-11.77,-0.6967
C7,0.00,3,456,400724,763,781.6,0.1950,-2.38,-0.4735
C7,0.00,4,456,197319,371,383.6,0.1944,-3.30,-0.4609
C7,0.00,5,456,97216,193,188.5,0.1939,2.39,0.2306
C7,0.00,6,456,47787,110,94.4,0.1976,16.50,1.0909
C7,0.00,7,456,23645,58,48.3,0.2043,20.08,0.9419
C_BI,bidir,3,456,801086,1481,1699.6,0.2122,-12.86,-3.8806
C_BI,bidir,4,456,393875,709,942.7,0.2393,-24.79,-5.7561
C_BI,bidir,5,456,194351,360,574.4,0.2956,-37.33,-7.0229
C_BI,bidir,6,456,95589,192,387.1,0.4049,-50.40,-8.1183
C_BI,bidir,7,456,47152,103,290.5,0.6162,-64.55,-9.4734
