config,p,threshold,seed,tx_entries,tx_busts,mk_eq_busts,mk_eq_rate,advantage,z_score
C1,1.00,3,1001,399093,804,968.3,0.2426,-16.97,-3.9071
C1,1.00,4,1001,196103,393,589.3,0.3005,-33.31,-6.2719
C1,1.00,5,1001,96402,192,401.6,0.4166,-52.19,-8.6155
C1,1.00,6,1001,47517,86,300.8,0.6331,-71.41,-10.9444
C1,1.00,7,1001,23541,44,253.9,1.0787,-82.67,-12.2014
C2,0.90,3,1001,399093,804,961.6,0.2410,-16.40,-3.7567
C2,0.90,4,1001,196103,393,579.5,0.2955,-32.18,-5.9882
C2,0.90,5,1001,96402,192,386.3,0.4007,-50.30,-8.0919
C2,0.90,6,1001,47517,86,281.1,0.5917,-69.41,-10.2044
C2,0.90,7,1001,23541,44,236.1,1.0030,-81.36,-11.5128
C3,0.75,3,1001,399093,804,920.0,0.2306,-12.64,-2.8033
C3,0.75,4,1001,196103,393,539.4,0.2751,-27.15,-4.8012
C3,0.75,5,1001,96402,192,348.6,0.3616,-44.92,-6.7432
C3,0.75,6,1001,47517,86,249.8,0.5257,-65.57,-8.9541
C3,0.75,7,1001,23541,44,201.4,0.8557,-78.16,-10.0762
C4,0.50,3,1001,399093,804,894.8,0.2243,-10.19,-2.2160
C4,0.50,4,1001,196103,393,506.1,0.2581,-22.35,-3.7774
C4,0.50,5,1001,96402,192,303.5,0.3148,-36.74,-5.0149
C4,0.50,6,1001,47517,86,201.4,0.4239,-57.30,-6.8179
C4,0.50,7,1001,23541,44,154.8,0.6576,-71.58,-7.8755
C5,0.25,3,1001,399093,804,821.9,0.2060,-2.21,-0.4511
C5,0.25,4,1001,196103,393,428.3,0.2184,-8.24,-1.2334
C5,0.25,5,1001,96402,192,237.7,0.2465,-19.21,-2.2048
C5,0.25,6,1001,47517,86,139.9,0.2944,-38.52,-3.5899
C5,0.25,7,1001,23541,44,92.7,0.3936,-52.51,-4.1685
C6,0.10,3,1001,399093,804,802.6,0.2011,0.16,0.0330
C6,0.10,4,1001,196103,393,413.5,0.2109,-4.96,-0.7226
C6,0.10,5,1001,96402,192,214.9,0.2229,-10.66,-1.1369
C6,0.10,6,1001,47517,86,112.8,0.2373,-23.73,-1.9001
C6,0.10,7,1001,23541,44,64.1,0.2722,-31.33,-1.9328
C7,0.00,3,1001,399093,804,782.0,0.1959,2.81,0.5527
C7,0.00,4,1001,196103,393,392.4,0.2001,0.14,0.0196
C7,0.00,5,1001,96402,192,189.8,0.1969,1.14,0.1106
C7,0.00,6,1001,47517,86,91.0,0.1914,-5.46,-0.3739
C7,0.00,7,1001,23541,44,45.8,0.1947,-3.99,-0.1933
C_BI,bidir,3,1001,800071,1552,1761.9,0.2202,-11.91,-3.6500
C_BI,bidir,4,1001,393459,767,977.7,0.2485,-21.55,-5.0493
C_BI,bidir,5,1001,193481,379,586.3,0.3030,-35.36,-6.6799
C_BI,bidir,6,1001,95229,170,396.2,0.4160,-57.09,-9.5197
C_BI,bidir,7,1001,47067,89,295.8,0.6285,-69.91,-10.5642
