config,p,threshold,seed,tx_entries,tx_busts,mk_eq_busts,mk_eq_rate,advantage,z_score
C1,1.00,3,789,399490,783,916.6,0.2295,-14.58,-3.2448
C1,1.00,4,789,196790,367,549.8,0.2794,-33.25,-6.0455
C1,1.00,5,789,96771,188,374.5,0.3870,-49.80,-7.8750
C1,1.00,6,789,47693,89,286.0,0.5996,-68.88,-10.1927
C1,1.00,7,789,23577,49,242.0,1.0265,-79.75,-11.3497
C2,0.90,3,789,399490,783,892.5,0.2234,-12.27,-2.6779
C2,0.90,4,789,196790,367,526.3,0.2674,-30.27,-5.3353
C2,0.90,5,789,96771,188,354.6,0.3664,-46.98,-7.1625
C2,0.90,6,789,47693,89,264.4,0.5544,-66.34,-9.3472
C2,0.90,7,789,23577,49,219.4,0.9305,-77.67,-10.4304
C3,0.75,3,789,399490,783,881.1,0.2206,-11.15,-2.4120
C3,0.75,4,789,196790,367,511.1,0.2598,-28.20,-4.8703
C3,0.75,5,789,96771,188,329.7,0.3407,-42.97,-6.2346
C3,0.75,6,789,47693,89,239.0,0.5011,-62.76,-8.2962
C3,0.75,7,789,23577,49,193.8,0.8220,-74.72,-9.3168
C4,0.50,3,789,399490,783,855.5,0.2143,-8.54,-1.8065
C4,0.50,4,789,196790,367,464.5,0.2360,-20.99,-3.3839
C4,0.50,5,789,96771,188,288.0,0.2976,-34.72,-4.5896
C4,0.50,6,789,47693,89,195.4,0.4097,-54.45,-6.3182
C4,0.50,7,789,23577,49,145.1,0.6155,-66.23,-6.9126
C5,0.25,3,789,399490,783,827.4,0.2072,-5.39,-1.1123
C5,0.25,4,789,196790,367,433.3,0.2202,-15.31,-2.3467
C5,0.25,5,789,96771,188,239.8,0.2478,-21.61,-2.5090
C5,0.25,6,789,47693,89,148.0,0.3104,-39.87,-3.8384
C5,0.25,7,789,23577,49,96.3,0.4087,-49.14,-3.9335
C6,0.10,3,789,399490,783,800.1,0.2003,-2.14,-0.4316
C6,0.10,4,789,196790,367,411.3,0.2090,-10.76,-1.5885
C6,0.10,5,789,96771,188,215.6,0.2228,-12.79,-1.3733
C6,0.10,6,789,47693,89,118.8,0.2491,-25.09,-2.0702
C6,0.10,7,789,23577,49,68.4,0.2902,-28.39,-1.7952
C7,0.00,3,789,399490,783,800.9,0.2005,-2.23,-0.4495
C7,0.00,4,789,196790,367,392.7,0.1995,-6.54,-0.9323
C7,0.00,5,789,96771,188,196.4,0.2030,-4.28,-0.4289
C7,0.00,6,789,47693,89,100.2,0.2101,-11.16,-0.8136
C7,0.00,7,789,23577,49,50.0,0.2121,-2.00,-0.1006
C_BI,bidir,3,789,799593,1568,1712.7,0.2142,-8.45,-2.5289
C_BI,bidir,4,789,392912,767,943.9,0.2402,-18.74,-4.2814
C_BI,bidir,5,789,193484,381,579.5,0.2995,-34.25,-6.4114
C_BI,bidir,6,789,95238,187,392.3,0.4119,-52.33,-8.5414
C_BI,bidir,7,789,46969,101,297.4,0.6333,-66.04,-9.8625
